kappa,theta,sigma,rho,v0,r,T,k,price
2.0,0.02,0.1,-0.5,0.05,0.1,1,0.8,0.2794296628469902
2.0,0.02,0.1,-0.5,0.05,0.1,1,0.8500000000000001,0.23744988908500475
2.0,0.02,0.1,-0.5,0.05,0.1,1,0.9000000000000001,0.1976437534819122
2.0,0.02,0.1,-0.5,0.05,0.1,1,0.9500000000000002,0.16077336555268784
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.0000000000000002,0.12755278263827385
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.0500000000000003,0.09853507754575452
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.1000000000000003,0.0740245327843333
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.1500000000000004,0.054036906026845744
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.2000000000000004,0.038314733481082164
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.2500000000000004,0.02638794007820472
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.3000000000000005,0.017659162927976563
2.0,0.02,0.1,-0.5,0.05,0.1,1,1.3500000000000005,0.011490996018778982
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,0.8,0.3152289061388054
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,0.8500000000000001,0.27529004972896853
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,0.9000000000000001,0.23707373460651326
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,0.9500000000000002,0.20109331900548244
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.0000000000000002,0.1678398646217889
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.0500000000000003,0.1377275698810192
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.1000000000000003,0.11104792244093231
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.1500000000000004,0.08794103749826926
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.2000000000000004,0.06838828340085618
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.2500000000000004,0.0522253985808685
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.3000000000000005,0.03917132851912447
2.0,0.02,0.1,-0.5,0.05,0.1,1.5,1.3500000000000005,0.02886584681727214
2.0,0.02,0.1,-0.5,0.05,0.1,2,0.8,0.3488100387273272
2.0,0.02,0.1,-0.5,0.05,0.1,2,0.8500000000000001,0.3106363890055426
2.0,0.02,0.1,-0.5,0.05,0.1,2,0.9000000000000001,0.27384260354209644
2.0,0.02,0.1,-0.5,0.05,0.1,2,0.9500000000000002,0.23880337262495366
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.0000000000000002,0.20588351526797632
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.0500000000000003,0.17540688278874206
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.1000000000000003,0.1476290420773685
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.1500000000000004,0.12271763092481502
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.2000000000000004,0.10074262819929874
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.2500000000000004,0.08167690254212207
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.3000000000000005,0.06540574648865005
2.0,0.02,0.1,-0.5,0.05,0.1,2,1.3500000000000005,0.051742972465922854
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,0.8,0.2804154150811716
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,0.8500000000000001,0.23901820294152099
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,0.9000000000000001,0.19991592129101188
